0.000000000000000000e+00 4.55841e-04
1.855261057591920182e-05 4.38250e-04
3.710522115183840364e-05 3.88808e-04
5.565783172775760207e-05 3.16643e-04
7.421044230367680728e-05 2.34349e-04
9.276305287959601248e-05 1.54901e-04
1.113156634555152041e-04 8.87326e-05
1.298682740314344229e-04 4.17766e-05
1.484208846073536146e-04 1.49168e-05
1.669734951832728062e-04 4.83170e-06
1.855261057591920250e-04 5.77777e-06
2.040787163351112166e-04 1.16409e-05
2.226313269110304083e-04 1.76051e-05
2.411839374869496270e-04 2.10197e-05
2.597365480628688458e-04 2.13844e-05
2.782891586387880103e-04 1.96750e-05
2.968417692147072291e-04 1.74043e-05
3.153943797906264479e-04 1.58120e-05
3.339469903665456124e-04 1.54330e-05
3.524996009424648312e-04 1.60931e-05
3.710522115183840499e-04 1.72040e-05
3.896048220943032145e-04 1.81478e-05
4.081574326702224332e-04 1.85606e-05
4.267100432461416520e-04 1.84180e-05
4.452626538220608166e-04 1.79399e-05
4.638152643979800353e-04 1.74058e-05
4.823678749738992541e-04 1.69943e-05
5.009204855498184186e-04 1.67187e-05
5.194730961257376916e-04 1.64689e-05
5.380257067016568561e-04 1.61143e-05
5.565783172775760207e-04 1.56008e-05
5.751309278534952937e-04 1.49907e-05
5.936835384294144582e-04 1.44338e-05
6.122361490053336228e-04 1.40934e-05
6.307887595812528957e-04 1.40734e-05
6.493413701571720603e-04 1.43811e-05
6.678939807330912248e-04 1.49396e-05
6.864465913090104978e-04 1.56347e-05
7.049992018849296624e-04 1.63656e-05
7.235518124608488269e-04 1.70747e-05
7.421044230367680999e-04 1.77431e-05
7.606570336126872644e-04 1.83651e-05
7.792096441886064290e-04 1.89191e-05
7.977622547645257019e-04 1.93589e-05
8.163148653404448665e-04 1.96298e-05
8.348674759163640310e-04 1.97025e-05
8.534200864922833040e-04 1.96046e-05
8.719726970682024686e-04 1.94310e-05
8.905253076441216331e-04 1.93247e-05
9.090779182200409061e-04 1.94322e-05
9.276305287959600706e-04 1.98529e-05
9.461831393718793436e-04 2.06008e-05
9.647357499477985081e-04 2.15947e-05
9.832883605237177811e-04 2.26787e-05
1.001840971099636837e-03 2.36665e-05
1.020393581675556110e-03 2.43924e-05
1.038946192251475383e-03 2.47540e-05
1.057498802827394439e-03 2.47359e-05
1.076051413403313712e-03 2.44094e-05
1.094604023979232985e-03 2.39119e-05
1.113156634555152041e-03 2.34117e-05
1.131709245131071314e-03 2.30688e-05
1.150261855706990587e-03 2.29981e-05
1.168814466282909643e-03 2.32440e-05
1.187367076858828916e-03 2.37721e-05
1.205919687434748189e-03 2.44795e-05
1.224472298010667246e-03 2.52219e-05
1.243024908586586518e-03 2.58516e-05
1.261577519162505791e-03 2.62538e-05
1.280130129738424848e-03 2.63723e-05
1.298682740314344121e-03 2.62164e-05
1.317235350890263394e-03 2.58485e-05
1.335787961466182450e-03 2.53587e-05
1.354340572042101723e-03 2.48357e-05
1.372893182618020996e-03 2.43475e-05
1.391445793193940052e-03 2.39340e-05
1.409998403769859325e-03 2.36133e-05
1.428551014345778598e-03 2.33939e-05
1.447103624921697654e-03 2.32824e-05
1.465656235497616927e-03 2.32838e-05
1.484208846073536200e-03 2.33920e-05
1.502761456649455256e-03 2.35774e-05
1.521314067225374529e-03 2.37814e-05
1.539866677801293802e-03 2.39234e-05
1.558419288377212858e-03 2.39209e-05
1.576971898953132131e-03 2.37173e-05
1.595524509529051404e-03 2.33042e-05
1.614077120104970460e-03 2.27299e-05
1.632629730680889733e-03 2.20881e-05
1.651182341256809006e-03 2.14890e-05
1.669734951832728062e-03 2.10255e-05
1.688287562408647335e-03 2.07449e-05
1.706840172984566608e-03 2.06377e-05
1.725392783560485664e-03 2.06463e-05
1.743945394136404937e-03 2.06894e-05
1.762498004712324210e-03 2.06916e-05
1.781050615288243266e-03 2.06067e-05
1.799603225864162539e-03 2.04271e-05
1.818155836440081812e-03 2.01784e-05
1.836708447016001085e-03 1.99020e-05
1.855261057591920141e-03 1.96344e-05
1.873813668167839414e-03 1.93916e-05
1.892366278743758687e-03 1.91628e-05
1.910918889319677743e-03 1.89140e-05
1.929471499895597016e-03 1.86001e-05
1.948024110471516289e-03 1.81798e-05
1.966576721047435562e-03 1.76285e-05
1.985129331623354618e-03 1.69485e-05
2.003681942199273674e-03 1.61717e-05
2.022234552775193164e-03 1.53573e-05
2.040787163351112220e-03 1.45840e-05
2.059339773927031277e-03 1.39371e-05
2.077892384502950766e-03 1.34938e-05
2.096444995078869823e-03 1.33081e-05
2.114997605654788879e-03 1.33993e-05
2.133550216230708368e-03 1.37477e-05
2.152102826806627425e-03 1.42983e-05
2.170655437382546481e-03 1.49730e-05
2.189208047958465971e-03 1.56882e-05
2.207760658534385027e-03 1.63710e-05
2.226313269110304083e-03 1.69723e-05
2.244865879686223573e-03 1.74695e-05
2.263418490262142629e-03 1.78614e-05
2.281971100838061685e-03 1.81573e-05
2.300523711413981175e-03 1.83646e-05
2.319076321989900231e-03 1.84806e-05
2.337628932565819287e-03 1.84920e-05
2.356181543141738777e-03 1.83810e-05
2.374734153717657833e-03 1.81362e-05
2.393286764293576889e-03 1.77637e-05
2.411839374869496379e-03 1.72926e-05
2.430391985445415435e-03 1.67734e-05
2.448944596021334491e-03 1.62689e-05
2.467497206597253981e-03 1.58400e-05
2.486049817173173037e-03 1.55309e-05
2.504602427749092093e-03 1.53590e-05
2.523155038325011583e-03 1.53114e-05
2.541707648900930639e-03 1.53504e-05
2.560260259476849695e-03 1.54247e-05
2.578812870052769185e-03 1.54848e-05
2.597365480628688241e-03 1.54961e-05
2.615918091204607297e-03 1.54476e-05
2.634470701780526787e-03 1.53524e-05
2.653023312356445843e-03 1.52421e-05
2.671575922932364899e-03 1.51541e-05
2.690128533508284389e-03 1.51199e-05
2.708681144084203445e-03 1.51544e-05
2.727233754660122501e-03 1.52524e-05
2.745786365236041991e-03 1.53924e-05
2.764338975811961047e-03 1.55462e-05
2.782891586387880103e-03 1.56917e-05
2.801444196963799593e-03 1.58223e-05
2.819996807539718649e-03 1.59516e-05
2.838549418115637706e-03 1.61079e-05
2.857102028691557195e-03 1.63222e-05
2.875654639267476251e-03 1.66122e-05
2.894207249843395308e-03 1.69678e-05
2.912759860419314797e-03 1.73447e-05
2.931312470995233854e-03 1.76689e-05
2.949865081571152910e-03 1.78525e-05
2.968417692147072399e-03 1.78164e-05
2.986970302722991456e-03 1.75135e-05
3.005522913298910512e-03 1.69451e-05
3.024075523874830002e-03 1.61649e-05
3.042628134450749058e-03 1.52687e-05
3.061180745026668114e-03 1.43733e-05
3.079733355602587604e-03 1.35905e-05
3.098285966178506660e-03 1.30052e-05
3.116838576754425716e-03 1.26615e-05
3.135391187330345206e-03 1.25635e-05
3.153943797906264262e-03 1.26844e-05
3.172496408482183318e-03 1.29829e-05
3.191049019058102808e-03 1.34160e-05
3.209601629634021864e-03 1.39465e-05
3.228154240209940920e-03 1.45408e-05
3.246706850785860410e-03 1.51621e-05
3.265259461361779466e-03 1.57622e-05
3.283812071937698522e-03 1.62815e-05
3.302364682513618012e-03 1.66569e-05
3.320917293089537068e-03 1.68401e-05
3.339469903665456124e-03 1.68174e-05
3.358022514241375614e-03 1.66245e-05
3.376575124817294670e-03 1.63476e-05
3.395127735393213726e-03 1.61067e-05
3.413680345969133216e-03 1.60251e-05
3.432232956545052272e-03 1.61921e-05
3.450785567120971328e-03 1.66325e-05
3.469338177696890818e-03 1.72923e-05
3.487890788272809874e-03 1.80479e-05
3.506443398848728930e-03 1.87360e-05
3.524996009424648420e-03 1.91965e-05
