0.6561, -0.0074
0.7177, -0.0074
0.7794, -0.0074
0.8410, -0.0074
0.9027, -0.0074
0.9643, -0.0074
1.0254, -0.0117
1.0877, -0.0074
1.1493, -0.0074
1.2110, -0.0074
1.2726, -0.0074
1.3343, -0.0074
1.3959, -0.0074
1.4576, -0.0074
1.5192, -0.0074
1.5809, -0.0074
1.6426, -0.0074
1.7042, -0.0074
1.7659, -0.0074
1.8275, -0.0074
1.8892, -0.0074
1.9508, -0.0074
2.0102, -0.0076
2.0741, -0.0074
2.1358, -0.0074
2.1975, -0.0074
2.2591, -0.0074
2.3208, -0.0074
2.3824, -0.0012
2.4438, 0.0559
2.4938, 0.1450
2.5187, 0.2228
2.5371, 0.3248
2.5463, 0.4191
2.5662, 0.5308
2.5707, 0.6320
2.5846, 0.7298
2.5916, 0.8338
2.6035, 0.9595
2.6104, 1.0681
2.6217, 1.1805
2.6322, 1.2973
2.6414, 1.4172
2.6527, 1.5498
2.6617, 1.6840
2.6740, 1.7950
2.6792, 1.8995
2.6902, 2.0001
2.7022, 2.1048
2.7103, 2.1959
2.7211, 2.2884
2.7338, 2.3872
2.7466, 2.4778
2.7656, 2.5379
2.8154, 2.5660
2.8473, 2.5282
2.8621, 2.4591
2.8730, 2.3647
2.8960, 2.2504
2.9078, 2.1582
2.9290, 2.0477
2.9428, 1.9339
2.9604, 1.8449
2.9731, 1.7470
2.9936, 1.6415
3.0076, 1.5440
3.0290, 1.4435
3.0458, 1.3483
3.0740, 1.2550
3.1006, 1.1650
3.1347, 1.0738
3.1747, 1.0047
3.2333, 0.9231
3.2704, 0.8815
3.3257, 0.8632
3.3874, 0.8432
3.4491, 0.8421
3.5107, 0.8494
3.5723, 0.8660
3.6358, 0.8842
3.6954, 0.9065
3.7570, 0.9255
3.8186, 0.9483
3.8801, 0.9697
3.9417, 0.9853
4.0032, 1.0123
4.0648, 1.0278
4.1263, 1.0551
4.1832, 1.0646
4.2548, 1.0809
4.3112, 1.0887
4.3712, 1.1013
4.4344, 1.1053
4.4925, 1.1100
4.5626, 1.1101
4.6194, 1.1048
4.6772, 1.0991
4.7428, 1.0844
4.8010, 1.0710
4.8686, 1.0551
4.9268, 1.0369
4.9897, 1.0171
5.0514, 0.9991
5.1132, 0.9746
5.1750, 0.9521
5.2367, 0.9303
5.2985, 0.9089
5.3602, 0.8905
5.4219, 0.8778
5.4836, 0.8719
5.5453, 0.8712
5.6069, 0.8746
5.6686, 0.8729
5.7302, 0.8795
5.7918, 0.8840
5.8534, 0.9020
5.9150, 0.9210
5.9766, 0.9369
6.0381, 0.9556
6.0997, 0.9718
6.1636, 0.9878
