Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
  29,5.000e-05,2.985e+05,73.6094,73.5456,238.23,184.32,12.390, 8.673,0.07682,0.061337,5.337e+04,61.3871,61.3608,232.41,178.89, 9.864, 7.003,0.070838,0.058272
  30,5.000e-05,2.707e+05,64.7145,64.5051,222.72,171.24,10.291, 7.415,0.07636,0.061903,4.878e+04,57.0093,56.9783,217.75,166.64, 8.370, 6.097,0.069801,0.057426
  31,4.999e-05,2.494e+05,64.1411,63.9423,206.60,158.53, 8.330, 6.287,0.07529,0.060969,4.408e+04,69.9857,69.9548,198.50,152.57,12.286, 8.489,0.067722,0.055576
  32,4.999e-05,2.237e+05,64.8173,64.6238,194.08,148.53, 9.906, 7.076,0.07176,0.058067,4.253e+04,66.8291,66.7888,191.02,147.13,14.612, 9.908,0.068219,0.055763
  33,4.999e-05,2.141e+05,59.5798,59.3952,185.95,142.10,10.343, 7.328,0.07142,0.057352,4.036e+04,59.1114,59.0626,192.74,148.08,13.840, 9.476,0.064672,0.052629
  34,4.999e-05,2.124e+05,62.4678,62.3624,188.95,145.17,16.880,10.831,0.06984,0.056250,4.451e+04,62.4261,62.3823,204.71,159.22,21.246,14.327,0.066717,0.054326
  35,4.999e-05,2.283e+05,54.4448,53.7471,196.53,150.78,17.259,11.021,0.07310,0.059087,3.708e+04,42.6763,42.6073,177.09,134.75, 8.683, 6.323,0.066372,0.053783
  36,4.999e-05,1.958e+05,54.0105,53.3459,172.64,132.02, 9.303, 6.696,0.07027,0.056260,3.775e+04,41.7252,41.6559,172.07,130.88,11.619, 8.036,0.069273,0.056077
  37,4.999e-05,2.156e+05,60.1274,58.7490,167.24,127.86, 9.231, 6.608,0.07747,0.062563,3.791e+04,48.7686,48.7069,168.01,128.82, 9.627, 6.842,0.070286,0.057840
  38,4.999e-05,1.959e+05,41.2210,40.7772,169.70,129.51, 9.117, 6.359,0.07278,0.057585,3.416e+04,45.6551,45.5931,174.12,134.30,16.575,11.299,0.061548,0.050402
  39,4.999e-05,1.748e+05,48.9746,48.6942,166.49,127.55,10.729, 7.197,0.06547,0.052227,3.133e+04,46.1827,46.1188,164.79,126.87, 7.908, 5.665,0.059636,0.048501
  40,4.999e-05,1.701e+05,43.7970,43.3716,161.80,123.90, 8.766, 6.194,0.06605,0.052412,3.164e+04,42.5393,42.4705,161.12,123.79,11.394, 7.919,0.061833,0.050414
  41,4.999e-05,1.622e+05,41.6750,41.5628,159.54,122.24,10.191, 6.975,0.06437,0.051662,3.186e+04,37.2590,37.1802,171.14,131.68, 9.726, 6.763,0.059109,0.047585
  42,4.999e-05,1.670e+05,42.0442,41.6759,162.46,124.74, 8.987, 6.332,0.06495,0.052296,2.829e+04,36.0751,35.9978,156.86,120.34, 7.520, 5.520,0.057307,0.046876
  43,4.999e-05,1.608e+05,40.9699,40.1963,156.51,119.99,10.497, 7.172,0.06391,0.051410,2.713e+04,43.3024,43.2413,152.67,117.53, 7.358, 5.424,0.055700,0.044825
  44,4.999e-05,1.628e+05,34.6279,33.8471,154.71,118.19, 7.971, 5.686,0.06645,0.053659,2.949e+04,43.7281,43.6687,156.76,121.10,12.073, 8.368,0.058979,0.048627
  45,4.999e-05,1.453e+05,38.8112,38.5448,153.24,117.74, 9.852, 6.664,0.05993,0.047969,2.682e+04,29.2670,29.1758,152.59,117.02, 9.143, 6.471,0.056250,0.045889
  46,4.999e-05,1.488e+05,32.3942,32.0954,157.24,120.62,14.105, 8.671,0.05973,0.047880,2.697e+04,33.8962,33.8124,148.97,114.55, 7.387, 5.433,0.057533,0.046083
  47,4.999e-05,1.546e+05,38.1098,37.4753,157.42,121.16,13.680, 8.719,0.06222,0.050175,3.238e+04,19.7726,19.6394,165.62,127.68,22.546,14.786,0.062783,0.050424
  48,4.999e-05,1.444e+05,32.7184,31.3186,153.97,118.30,13.799, 8.737,0.06018,0.048438,2.732e+04,26.5614,26.4595,150.80,115.90,13.280, 9.059,0.057985,0.047067
  49,4.999e-05,1.500e+05,34.5192,33.1494,147.18,112.91, 8.976, 6.127,0.06327,0.051054,2.581e+04,41.9084,41.8464,147.32,113.74, 7.757, 5.617,0.054929,0.044246
  50,4.999e-05,1.362e+05,30.9782,29.9186,147.54,113.14, 6.870, 4.968,0.05915,0.047982,3.032e+04,40.7475,40.6844,150.51,116.27, 9.518, 6.693,0.063024,0.052011
  51,4.999e-05,1.408e+05,29.6116,28.2079,148.20,113.83, 7.117, 5.126,0.06091,0.049271,2.393e+04,36.4733,36.4008,146.21,112.82, 8.611, 6.086,0.051658,0.041721
  52,4.999e-05,1.382e+05,32.3499,31.0922,145.45,111.75, 7.026, 5.081,0.05953,0.047988,2.372e+04,22.0364,21.9165,146.23,112.16, 7.622, 5.477,0.052271,0.041771
  53,4.999e-05,1.294e+05,32.1666,31.2767,143.55,110.32, 6.645, 4.767,0.05705,0.045876,2.787e+04,19.9653,19.8326,146.02,111.88, 7.669, 5.464,0.061125,0.050252
  54,4.999e-05,1.300e+05,32.4266,31.2517,142.66,109.53, 6.382, 4.599,0.05820,0.046507,2.333e+04,20.5297,20.4042,144.86,111.03, 7.774, 5.530,0.051958,0.042214
  55,4.998e-05,1.281e+05,28.6723,27.0237,143.03,109.72, 6.622, 4.790,0.05676,0.045543,2.177e+04,35.0639,34.9950,141.31,108.98, 6.255, 4.613,0.048589,0.039556
  56,4.998e-05,1.176e+05,24.9565,23.4833,142.95,109.45, 6.947, 4.922,0.05328,0.042846,2.552e+04,38.4168,38.3567,141.62,109.40, 6.153, 4.575,0.056627,0.046276
  57,4.998e-05,1.188e+05,28.2692,26.9542,140.95,108.16, 6.609, 4.762,0.05414,0.043830,2.138e+04,33.6772,33.6100,140.22,108.23, 6.239, 4.625,0.048161,0.039431
  58,4.998e-05,1.206e+05,27.9211,26.4837,141.02,108.28, 6.259, 4.594,0.05378,0.043315,2.129e+04,19.8645,19.7436,141.18,108.41, 6.950, 5.028,0.048591,0.039746
  59,4.998e-05,1.108e+05,29.6588,28.4802,139.21,107.08, 6.521, 4.667,0.05069,0.040705,2.473e+04,11.3708,11.1656,143.46,109.76,10.759, 7.397,0.055826,0.045753
  60,4.998e-05,1.153e+05,26.5008,24.3544,139.54,107.06, 7.358, 5.112,0.05324,0.043016,2.030e+04,22.3127,22.2074,139.59,107.38, 5.717, 4.241,0.046607,0.038078
  61,4.998e-05,1.133e+05,26.0259,24.9471,138.80,106.65, 6.244, 4.490,0.05137,0.041311,2.196e+04,33.1744,33.1112,137.26,105.99, 5.696, 4.279,0.050713,0.042477
  62,4.998e-05,1.042e+05,24.6054,23.6183,137.38,105.56, 7.221, 5.074,0.04819,0.038767,2.254e+04,34.7758,34.7142,136.96,105.73, 6.130, 4.458,0.052026,0.042901
  63,4.998e-05,1.012e+05,23.9119,22.2472,137.77,105.88, 6.506, 4.684,0.04733,0.037901,1.988e+04,28.9165,28.8448,140.44,108.59,10.002, 6.936,0.044577,0.036045
  64,4.998e-05,1.017e+05,27.3619,26.4783,136.66,105.13, 7.387, 5.114,0.04756,0.038351,1.620e+04,19.0019,18.8899,136.26,104.91, 8.214, 5.756,0.036518,0.029803
  65,4.998e-05,9.522e+04,26.7919,25.9545,135.85,104.60, 7.843, 5.497,0.04484,0.036075,1.851e+04,15.4785,15.3424,141.59,108.97, 6.397, 4.610,0.041314,0.033611
  66,4.998e-05,9.700e+04,23.9932,23.1916,142.08,109.42,10.656, 6.736,0.04318,0.035112,1.609e+04,19.3510,19.2466,141.97,109.43, 8.259, 5.781,0.033117,0.027404
  67,4.998e-05,8.816e+04,18.4557,17.6814,136.92,105.14, 9.837, 6.375,0.04037,0.032455,1.810e+04,21.8054,21.7126,134.17,103.56, 7.703, 5.508,0.042971,0.034676
  68,4.998e-05,8.547e+04,19.8902,19.7027,133.85,102.91, 7.364, 5.126,0.04079,0.033043,1.492e+04,14.6282,14.4955,136.31,104.91, 5.553, 4.147,0.032447,0.027120
  69,4.998e-05,8.267e+04,20.2693,19.5492,133.60,102.77, 7.578, 5.212,0.03816,0.030571,1.564e+04,15.8030,15.6950,134.91,103.77,10.873, 7.489,0.035460,0.028413
  70,4.998e-05,7.593e+04,18.8204,18.4108,131.94,101.42, 7.732, 5.375,0.03533,0.028541,1.616e+04,17.1934,17.0981,130.11,100.12, 6.407, 4.707,0.039414,0.031904
  71,4.997e-05,7.537e+04,16.6659,16.4329,131.12,100.80, 8.159, 5.367,0.03544,0.028579,1.385e+04,16.3836,16.2809,128.88, 99.27, 6.146, 4.551,0.032441,0.026531
  72,4.997e-05,7.197e+04,19.2557,18.3679,131.45,101.20, 8.910, 5.825,0.03267,0.026289,1.291e+04,14.8858,14.7723,132.10,101.83, 5.989, 4.410,0.026923,0.022189
  73,4.997e-05,6.969e+04,19.2984,18.5741,131.04,100.92, 8.024, 5.463,0.03115,0.025228,1.413e+04,11.1672,11.0250,135.20,104.33,13.236, 8.999,0.029986,0.025049
  74,4.997e-05,6.695e+04,16.1351,15.7620,128.49, 98.89, 8.626, 5.720,0.03088,0.024614,1.253e+04,20.3903,20.3149,130.91,101.14, 8.247, 5.785,0.025377,0.020535
  75,4.997e-05,6.242e+04,14.6065,13.6959,128.46, 98.83, 7.968, 5.283,0.02777,0.022601,1.634e+04,20.5068,20.4375,149.74,116.42,18.647,12.284,0.028520,0.022385
  76,4.997e-05,7.009e+04,17.7089,16.7081,135.54,104.43,12.659, 7.865,0.02909,0.023552,1.171e+04,12.7250,12.6170,129.89,100.27,11.597, 7.921,0.022576,0.018520
  77,4.997e-05,6.214e+04,17.9316,17.2961,128.38, 99.02, 9.955, 6.673,0.02696,0.021701,1.108e+04,12.8473,12.7390,126.84, 97.83, 5.892, 4.317,0.021860,0.018012
  78,4.997e-05,5.678e+04,14.2787,13.9615,124.59, 95.95, 6.950, 4.888,0.02496,0.019943,1.050e+04,16.7327,16.6507,122.73, 94.62, 4.965, 3.710,0.021473,0.017381
  79,4.997e-05,5.699e+04,13.1641,12.8047,126.13, 97.03, 7.485, 5.094,0.02391,0.018995,1.190e+04,17.7833,17.7096,123.64, 95.42, 7.336, 5.154,0.027500,0.022616
  80,4.997e-05,5.583e+04,13.9778,13.2363,123.46, 95.02, 7.410, 5.123,0.02457,0.019985,1.090e+04,19.6301,19.5624,121.11, 93.48, 5.217, 3.833,0.024357,0.019650
  81,4.997e-05,5.448e+04,14.0352,13.2369,122.49, 94.30, 7.643, 5.142,0.02386,0.019507,1.015e+04,12.7844,12.6839,125.04, 96.49,10.830, 7.410,0.017476,0.014112
  82,4.997e-05,5.684e+04,13.0235,12.8022,129.64,100.09,12.108, 7.608,0.01987,0.015941,9.680e+03,15.8481,15.7668,119.78, 92.47, 4.995, 3.716,0.019098,0.015624
